"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9","Dim.10","Dim.11","Dim.12","Dim.13","Dim.14","Dim.15","Dim.16","Dim.17","Dim.18","Dim.19","Dim.20","Dim.21","Dim.22","Dim.23","Dim.24"
"asthma",0.533514049229126,0.0794853548729175,6.11669056163422,5.92076465248648,0.999945024983424,0.11431667408723,6.38955096861454,3.74367625380053,6.24408279778946,0.0478820635520522,6.98646557556566,0.340033114749945,0.150182444419825,0.00359376995468943,5.42799997447848,0.385047548537462,5.85335670762511,3.4752060281604,0.271974903866641,2.41543280338712,13.536044222928,2.25387670544111,3.66875453332405,0.230823943433067
"osteoporosis",0.392117806914236,2.04027741991749,6.29264590706538,3.96841975089569,1.97080413854312,3.62631915926272,1.18219517852808,1.69369189689217,8.72038805640984,1.98969220875335,0.66864712942127,4.134608043847,0.467978281406635,0.0005577163147176,4.60866013573626,5.47917356107803,1.42658870423695,7.76323980559692,0.644401756870587,0.0474692501409613,0.0424569949791706,16.7408378170562,2.03547800652549,0.11631991057464
"chronic_kidney_disease",0.291179217928104,4.56100332989243,8.69680261879718,4.78762767473808,2.83139741523687,0.560746912763846,1.46694155985773,0.02534029418092,0.000506639361558265,1.93726552274223,0.114501357967781,1.63981020107972,2.65679784042801,3.54159607861658,0.0155124094564096,2.75211462832274,0.628388277569195,1.89574822727533,10.9609864587407,0.129915046011974,5.58019632460821,6.58004025316825,3.53678770707645,6.71975907993791
"previous_pTB",0.0735422009766893,0.116112716701958,4.16011642016493,1.05320067939678,1.40301030446529,5.47852549111217,0.511631855843401,3.558048515173,0.28371000692374,14.4139218354498,8.76069236950458,6.70695292208278,0.545934520729539,0.357415578671295,5.10412071769575,1.01367287602483,0.871427292572075,3.44798452967549,5.01311379964038,1.94412492181397,4.9838784518466,12.4320934467475,0.0354811477011075,2.29977504405469
"CVA",0.32797472057633,2.42081084612551,1.20653961619042,0.431589651341057,0.106140086087359,10.0493083042919,0.655708127781293,10.876521837384,7.79933371683182,2.56733760864761,1.39138115580498,0.678088195270524,1.21542693389946,2.24777939359281,7.2064231643357,2.48861463557721,0.331622403069483,0.0279870821919796,0.868239689889031,4.26285162643267,0.415961711958155,0.00426587210477662,8.60641073084758,16.1516205414792
"PVD",0.3492426791151,5.5702980325773,0.182214382587914,0.330165575605394,0.069256962092691,0.698499260583969,11.311274867486,0.0770347615957525,2.91255544648864,0.0435811567437132,3.69667850392158,3.26144485725744,16.5909741966321,3.46643729213072,6.57318160431217,4.23738309545906,0.219847090164821,0.0927760109572238,0.137986307889151,5.82107203879418,2.62460710852151,1.22502353947914,3.82502752353703,2.10210049772213
"acineto",1.29182905232979,0.0235918890745471,10.9801323127702,2.12798587502454,0.219404039496521,0.734555096021074,6.84519058521831,0.139845621033083,1.23007908041041,1.14188692154931,7.61057822328928,11.6005468887996,2.76429279358898,2.44284699098568,0.298939088011383,4.22491605061295,0.063777464012815,0.0309067930056169,2.46384263402983,0.00590575956186009,1.10244102289069,2.28127208064237,0.0042495995416831,6.71312042405551
"strepneu",1.09940891451056,0.329833619626443,1.9298208417594,1.84824230451652,3.67502705837067,9.90014565498338,0.360824579661303,1.63424669155362,2.59405560903979,1.9976971861901,1.70994642890312,1.0416800842639,0.691427189159784,0.0787307198465263,14.239771657515,0.909039600581433,3.44360298008807,16.9812059770239,0.611885340552912,2.9823888199015,0.744203736829493,0.091976402032549,9.25543902987556,3.22584683120189
"kleb",1.74282020486485,0.585918199587851,1.39065978606067,4.44243446773957,19.5039707369922,1.24430141722301,0.920954265862215,0.0365952947058492,7.89226641609218,1.42241421633953,0.275937606002383,0.361087701164472,0.0458735421696299,2.45921156736974,0.67943893602922,0.506018797529033,1.12079190137355,4.99409378937415,2.40785351225072,0.161766915869298,0.199650892104463,6.59639409147151e-06,1.2266867400328,1.44834884213016
"moraxella",3.31411251977402,0.0256320924622661,4.18974041315954,0.302305504553507,0.146427626693655,1.27579400867906,1.91865699698536,4.41525749177887,0.0166502433565685,0.447260154627393,0.103916071644207,3.48519429577413,0.0397810005754406,3.22693694024618,9.20763885108171,3.97145255653253,30.0479995639721,1.47689561062011,2.71491660592973,0.606725772645711,0.0428848641033189,1.63262870993563,12.0806014486099,0.027272109032365
"otherbact",2.89536019767222,0.474261244214221,0.799053655792892,3.38195229575279,8.76396288565874,5.76453931403536,1.1343793192148,0.510006401946563,1.21598100283262,0.182556099825419,0.441029859923931,1.93787188201169,4.28880820231014,12.1845661365076,0.43857970665589,0.207526137680677,0.00299380716645299,1.32358050640751,0.297406534227113,6.07750378064756,4.88911983008447,10.1420471322774,6.68952378338629,4.0797429311058
"fungal",2.37586465554019,0.643863756798283,1.07654230788568,0.0463035862908138,20.9817099002002,7.3679506585342,1.76163891332753,1.20545921104262,2.20404845187188,1.02470681055065,0.184228083579227,0.0745464848407665,2.52671449311296,2.4204413928066,2.94783210994764e-05,2.34350255839314,0.373140538592251,3.10900465907239,0.0477118740972069,5.32214919789549,0.343501068012205,2.88950855800436,0.00354318442554951,2.58019692033768
"stapyaure",1.48084734860225,1.94384839317123,0.0821293249909761,1.69041330889203,11.9268371279585,6.87948635084272e-06,2.77012235017504,1.8672030556218,3.04658226682651,16.8732669523968,0.340557039501944,0.335569154818446,0.231779355129605,0.360970236501542,7.4023972143924,1.57235964204622,2.59879376330546,0.575041092664864,0.904679648770285,0.069889780064433,4.76871730174341,0.0684106394127668,2.63172632822574,1.27992619912943
"pseu",3.73636149373913,0.23951659366485,4.4679950496773e-07,0.986145696700619,1.19804070498833,0.252370178388527,1.02882864788779,3.73754590191401,2.51510413107068,1.89541402740795,1.82120548789186,6.54371573078791,24.2850139804676,0.0316841653917471,0.152243478167292,6.42941652259042,1.72578799857971,8.04394676903521,6.74088602375695,0.54319892461718,0.664281498477382,6.62197546438089,1.70341140584495,0.010555542775382
"hemophilus",3.59510120941199,0.581306700177401,10.4232404553825,0.867002146746035,0.147893527906379,7.4373337930145,0.421780324365558,1.66101328212025,2.50107310187119,0.271010907276752,0.711305044030762,0.0199181720554923,0.326770542872737,0.0850627033276538,3.20934045885036,0.811591658137749,0.164019075124457,6.55048883117756,3.1279631069016,2.59107667889932,4.47633076139337,0.384569336592605,14.1255316660791,0.700051380895505
